,Title,Year,Genre,Link,Image_name,DIRECTOR,CINEMATOGRAPHER,PRODUCTION DESIGNER,COSTUME DESIGNER,EDITOR,COLORIST,SHOT TIME,TIME PERIOD,COLOR,ASPECT RATIO,FORMAT,FRAME SIZE,SHOT TYPE,LENS SIZE,COMPOSITION,LIGHTING,LIGHTING TYPE,TIME OF DAY,INTERIOR/EXTERIOR,LOCATION TYPE,SET,STORY LOCATION,CAMERA,LENS,FILM STOCK / RESOLUTION,FILMING LOCATION,VFX,ACTORS
2050,MY OWN PRIVATE IDAHO,1991,"Drama, Adventure",https://shotdeck.com/assets/images/stills/thumb/small_3NBTAHXH.jpg,small_3NBTAHXH, Gus Van Sant," John J. Campbell, Eric Alan Edwards", David Brisbin, Beatrix Aruna Pasztor, Curtiss Clayton,,1.0, 1990s, Mixed, 1.85 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Medium, Balanced, Soft light," Daylight, Overcast", Day, Exterior, Location, Farm, ... Oregon > Portland,,,, ... Oregon > Portland,,
2051,THE HIDDEN FORTRESS,1958,"Drama, Action, Adventure, Comedy",https://shotdeck.com/assets/images/stills/thumb/small_0H4K7QQH.jpg,small_0H4K7QQH, Akira Kurosawa, Kazuo Yamasaki, Yoshirô Muraki, Masahiro Kat, Akira Kurosawa,,0.0, Renaissance," Desaturated, Black and White", 2.39 - Anamorphic, Film - 35mm, Close Up," Insert, Overhead", Medium, Center, Hard light," Artificial light, Daylight", Day, Exterior, Location, Woods, ... Asia > Japan,,,, ... Asia > Japan,,
2052,ANNIHILATION,2018,"Science Fiction, Horror",https://shotdeck.com/assets/images/stills/thumb/small_6GMSBZQM.jpg,small_6GMSBZQM, Alex Garland, Rob Hardy, Mark Digby, Sammy Sheldon, Barney Pilling,,0.0, 2010s," Mixed, Blue", 2.39 - Anamorphic, Digital, Extreme Wide, Establishing shot, Wide, Center, Soft light, Daylight, Day, Exterior, Location, Beach > shore, ... United States of America > South East Coast," Sony F55, Sony F65, RED Weapon Dragon"," Panavision Primo Primes, Panavision G series, Panavision APO Panatar", Redcode RAW 6K, ... Windsor > Windsor Great Park, CGI,
2053,ROMA,2018,Drama,https://shotdeck.com/assets/images/stills/thumb/small_BHOC3KK8.jpg,small_BHOC3KK8, Alfonso Cuarón, Alfonso Cuarón, Eugenio Caballero, Anna Terrazas, Alfonso Cuarón, Steven J. Scott,0.0, 1970s," Desaturated, Black and White", 2.39 - Anamorphic, Digital, Wide,,,,," Daylight, Sunny", Day, Exterior, Location, House > Roof, ... North America > Mexico, ARRI ALEXA 65, Arri Prime 65s series,, ... Roma Sur > 12 Tepeji,,
2054,HONEYLAND,2019,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_AKPP2LGD.jpg,small_AKPP2LGD," Ljubomir Stefanov, Tamara Kotevska"," Samir Ljuma, Fejmi Daut",,, Atanas Georgiev,,0.0, 2010s," Mixed, Cyan, Blue", 1.78 - Spherical, Digital, Extreme Wide, Establishing shot, Wide,, Hard light, Daylight, Day, Exterior, Location, Plains > Mountains, ... North Macedonia > Bekirlija," Nikon D5, Nikon D800, Nikon D810",,, ... North Macedonia > Bekirlija,,
2055,ZAMA,2017,"Drama, History",https://shotdeck.com/assets/images/stills/thumb/small_N6D5LCR5.jpg,small_N6D5LCR5, Lucrecia Martel, Rui Po,, Julio Su," Miguel Schverdfinger, Karen Harley",,1.0, 1700s," Cool, Saturated, Green, Cyan", 1.78 - Spherical, Digital, Extreme Wide, Establishing shot, Wide,,," Daylight, Sunny", Day, Exterior, Location, Wetlands, ... Argentina > Asunción,,,, ... Argentina > Formosa,,
2056,PREDATOR,1987,"Action, Adventure, Science Fiction, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_I2PGHCQU.jpg,small_I2PGHCQU, John McTiernan, Donald McAlpine, John Vallone, Marilyn Vance," Mark Helfrich, John F. Link",,0.0, 1980s,, 1.85 - Spherical, Film - 35mm, Wide, Aerial, Wide, Center, Soft light, Daylight, Day, Exterior, Location, Jungle, ... Earth > Central America," Arriflex 35 IIIc, Panavision Gold / G2"," Panavision Super Speed Zeiss MKII, Panavision Ultra Speed Zeiss"," 5247/7247 Vision 125T, 5294/7294 EXR 400T", ... Chiapas > Palenque,,
2057,THE BALLAD OF BUSTER SCRUGGS,2018,"Comedy, Drama, Music, Western",https://shotdeck.com/assets/images/stills/thumb/small_2LJKB458.jpg,small_2LJKB458," Joel Coen, Ethan Coen", Bruno Delbonnel, Jess Gonchor, Mary Zophres," Joel Coen, Ethan Coen", Peter Doyle,, 1800s,," 1.85 - Spherical, Super 35", Digital, Wide, Establishing shot, Wide, Center," Low-contrast, Soft light"," Daylight, Overcast", Day, Exterior, Location, Mountains, ... North America > United States of America," ARRI ALEXA Mini, ARRI ALEXA XT / XTplus"," Fujinon Alura Zooms, Zeiss Master Primes",, ... United States of America > Colorado,,
2058,MONOS,2019,"Drama, War",https://shotdeck.com/assets/images/stills/thumb/small_OZEFT851.jpg,small_OZEFT851, Alejandro Landes, Jasper Wolf, Daniela Schneider," Daniela Schneider, Johanna Buendia"," Santiago Otheguy, Yorgos Mavropsaridis, Ted Guard", Laurens Orij,1.0, 2010s," Mixed, Saturated, Blue", 2.39, Digital, Extreme Wide, Insert, Medium, Right heavy, Soft light," Daylight, Overcast", Day, Exterior, Location, Mountains, ... South America > Mountaintop, ARRI ALEXA Mini," Angenieux Optimo, Hawk Vantage One", 3.2K / 3.2K ArriRaw, ... Colombia > Chingaza National Park,,
2059,THE PARALLAX VIEW,1974,"Crime, Drama, Mystery, Political, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_3AC1O5GZ.png,small_3AC1O5GZ.pn, Alan J. Pakula, Gordon Willis, George Jenkins, Frank L. Thompson, John W. Wheeler,,, 1970s," Cool, Cyan, Blue", 2.39 - Anamorphic, Film - 35mm, Extreme Wide, Establishing shot, Medium,, Soft light, Daylight, Day, Exterior, Location, Bar, ... Washington > Salmontail, Arriflex 35 IIIc, Panavision C series,, ... USA > Washington,,
2060,PSYCHO,1960,"Drama, Thriller, Horror",https://shotdeck.com/assets/images/stills/thumb/small_OG8L9DDW.jpg,small_OG8L9DDW, Alfred Hitchcock, John L. Russell," Robert Clatworthy, Joseph Hurley, George Milo", Rita Riggs, George Tomasini,,1.0, 1950s," Desaturated, Black and White", 1.85 - Spherical, Film - 35mm, Extreme Wide, Establishing shot," Medium, Wide", Center," Backlight, Edge light, Hard light", Daylight, Day, Exterior, Location, Mansion, ... Arizona > Bates Mansion, Mitchell BNC, Bausch and Lomb - Original Baltar," 5222/7222 Kodak Double X, Tri-X 5233 320D/250T", ... Universal City > Universal Studios,,
2061,SLUMDOG MILLIONAIRE,2008,"Drama, Romance",https://shotdeck.com/assets/images/stills/thumb/small_OQG9FFNI.jpg,small_OQG9FFNI," Danny Boyle, Loveleen Tandan", Anthony Dod Mantle, Mark Digby, Suttirat Anne Larlarb, Chris Dickens, Jean-Clement Soret,, 2000s," Warm, Blue"," 2.35 - Super 35, 3 perf", Film - 35mm, Extreme Wide," Aerial, Establishing shot, Overhead", Wide, Balanced, Hard light, Daylight, Day, Exterior, Location, Slums, ... Asia > India," Arricam LT, Arricam ST, Arriflex 235, Arriflex BL4, Canon EOS 1DX, Silicon Imaging SI-2k"," Angenieux Optimo Zooms, Century Angenieux 23-460mm, Zeiss Ultra Prime"," 8543/8643 Vivid 160T, 8563/8663 Eterna 250D, 8573/8673 Eterna 500T, 8522/8622 F-64D, 8592/8692 Reala 500D", ... Asia > India,,
2062,PIRANHA,1978,Horror,https://shotdeck.com/assets/images/stills/thumb/small_AVENU29W.jpg,small_AVENU29W, Joe Dante, Jamie Anderson," Bill Mellin, Kerry Mellin",," Joe Dante, Mark Goldblatt",,, 1970s, Pink, 1.85 - Spherical, Film - 35mm, Close Up,, Long Lens, Center, Soft light, Daylight, Day, Exterior, Location, River Bank, ... North America > United States,,,, ... United States > Texas,,
2063,THE GRAPES OF WRATH,1940,Drama,https://shotdeck.com/assets/images/stills/thumb/small_T5NGBEY7.jpg,small_T5NGBEY7, John Ford, Gregg Toland," Richard Day, Mark-Lee Kirk", Gwen Wakeling, Robert L. Simpson,,2.0, 1940s," Desaturated, Black and White", 1.33 - Spherical, Film - 35mm, Wide, Establishing shot, Wide, Balanced, Hard light," Daylight, Sunny", Day, Exterior, Location, Bridge, ... Arizona > Old Trails Bridge, Mitchell BNC,,, ... Topock > Old Trails Bridge,,
2064,AADAI,2019,Thriller,https://shotdeck.com/assets/images/stills/thumb/small_CBI812A0.jpg,small_CBI812A0, Rathna Kumar, Vijay Kartik Kannan,, Kavitha, Shafique Mohamed Ali, Gopal Balaji,, 2010s," Warm, Saturated"," 2.39 - Spherical, Open Gate", Digital, Extreme Wide," Aerial, Establishing shot", Wide, Balanced," Soft light, Top-light", Daylight, Day, Exterior, Location, City, ... Chennai > Nugambakkam, ARRI ALEXA SXT," Cooke S4/ i, Fujinon Alura Zooms", 3.2K / 3.2K ArriRaw, ... Chennai > Niugambakkam,, Amala Paul
2065,THE COLOR PURPLE,1985,Drama,https://shotdeck.com/assets/images/stills/thumb/small_Y86GYQZX.jpg,small_Y86GYQZX, Steven Spielberg, Allen Daviau, J. Michael Riva, Aggie Guerard Rodgers, Michael Kahn, Jim Schurmann,1.0, 1930s," Cool, Blue", 1.78 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Medium, Balanced, Soft light," Daylight, Overcast", Day, Exterior, Location, Dirt Road, ... United States > Georgia," Panavision Panaflex, Arriflex 35 IIa", Panavision Ultra Speed II (PVintage)," 5247/7247 Vision 125T, 5294/7294 EXR 400T", ... United States > North Carolina,,
2066,THE SECRET LIFE OF WALTER MITTY,2013,"Drama, Adventure, Comedy, Fantasy",https://shotdeck.com/assets/images/stills/thumb/small_M0H3KP6R.jpg,small_M0H3KP6R, Ben Stiller, Stuart Dryburgh, Jeff Mann, Sarah Edwards, Greg Hayden, Stefan Sonnenfeld,1.0, 2010s," Cool, Saturated, Green, Cyan, Blue", 2.39 - Anamorphic, Film - 35mm, Extreme Wide, High angle, Wide,, Soft light," Daylight, Sunny", Day, Exterior, Location, Hills > Road, ... Europe > Iceland," Panavision Millennium / Millenium XL / XL2, Arriflex 435, Arri 235, Arricam LT, Arricam ST, Arriflex 235"," Panavision Primo Primes, Cooke S4/ i, Angenieux Optimo Zooms, Panavision G series, Hawk V-Plus, Hawk V-Lite, Hawk V-Lite 1.3x, Century S2000 Lenses, Hawk V-Plus Anamorphics"," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D, 5203/7203 Vision 3 50D", ... Iceland > Seyðisfjarðarvegur,,
2067,WILD AT HEART,1990,"Comedy, Crime, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_D29KF87K.jpg,small_D29KF87K, David Lynch, Frederick Elmes, Patricia Norris, Amy Stofsky, Duwayne Dunham,,1.0, 1990s," Warm, Desaturated", 2.35 - Anamorphic, Film - 35mm, Close Up, High angle, Wide, Center, Hard light," Daylight, Sunny", Day, Exterior,, Car (Stationary) > Trunk, ... Texas > Big Tuna, Panavision Cameras, Panavision Lenses,,,,
2068,ANNIHILATION,2018,"Science Fiction, Horror",https://shotdeck.com/assets/images/stills/thumb/small_E1FKGTCO.jpg,small_E1FKGTCO, Alex Garland, Rob Hardy, Mark Digby, Sammy Sheldon, Barney Pilling,,0.0, 2010s," Mixed, Blue", 2.39 - Anamorphic, Digital, Extreme Wide, Establishing shot, Wide, Left heavy, Soft light, Daylight, Day, Exterior, Location, Beach > shore, ... United States of America > South East Coast," Sony F55, Sony F65, RED Weapon Dragon"," Panavision Primo Primes, Panavision G series, Panavision APO Panatar", Redcode RAW 6K, ... Windsor > Windsor Great Park,,
2069,MAZE RUNNER: THE DEATH CURE,2018,"Action, Book Adaptation, Science Fiction, Zombie",https://shotdeck.com/assets/images/stills/thumb/small_42SONM8F.jpg,small_42SONM8F, Wes Ball, Gyula Pados, Daniel T. Dorrance, Sanja Milkovic Hays," Dan Zimmerman, Paul Harb", Ismael Salas,0.0, Future," Cool, Cyan, Blue", 2.39 - Spherical, Digital, Wide, Establishing shot, Wide, Balanced, Hard light," Daylight, Sunny", Day, Exterior, Location, Open Road, ... Earth, ARRI ALEXA XT / XTplus, Panavision Primo 70 Primes, 3.2K / 3.2K ArriRaw, ... South Africa > Cape Town,,
2070,TAG,2018,"Action, Comedy",https://shotdeck.com/assets/images/stills/thumb/small_46MQCCAL.jpg,small_46MQCCAL, Jeff Tomsic, Larry Blanford, David Sandefur, Denise Wingate, Josh Crockett, John Daro,1.0, 2010s," Saturated, Green", 2.39 - Anamorphic, Digital, Close Up," High angle, Insert", Wide, Balanced,," Daylight, Sunny", Day, Exterior,, Church > Yard, ... Washington > Spokane, ARRI ALEXA Mini," Cooke/I Anamorphics, Cooke Anamorphic",, ... United States of America > Georgia,,
2071,STAR WARS: THE EMPIRE STRIKES BACK,1980,"Action, Adventure, Epic, Hard Sci-Fi, Military, Science Fiction, Space, War, Western",https://shotdeck.com/assets/images/stills/thumb/small_KR63AJLT.jpg,small_KR63AJLT, Irvin Kershner, Peter Suschitzky, Norman Reynolds, John Mollo," Paul Hirsch, George Lucas, Marcia Lucas", Mark Nakamine,1.0, Future," Warm, Saturated", 2.35 - Anamorphic, Film - 35mm, Wide," Establishing shot, Low angle", Wide, Right heavy, Hi-contrast, Daylight," Day, Dusk", Exterior, Stage, Landing Pad, ... Bespin > Cloud City," Panavision Panaflex, Panavision R-200, Arri 3 (III) (IIIc)", Panavision C series," 5247/7247 100T, Eastman 100T 5247", ... Hertfordshire > Borehamwood,,
2072,THE INNOCENTS,1961,,https://shotdeck.com/assets/images/stills/thumb/small_J0RV28YU.jpg,small_J0RV28YU, Jack Clayton, Freddie Francis, Peter James, Sophie Devine, Jim Clark,,, 1800s," Desaturated, Black and White", 2.35 - Cinemascope, Film - 35mm, Extreme Wide, Establishing shot, Wide, Balanced," Hard light, Low-contrast", Daylight, Day, Exterior, Location, Lake, ... United Kingdom > England,, Bausch and Lomb,, ... East Sussex > Sheffield Park,,
2073,BLOOD QUANTUM,2019,Horror,https://shotdeck.com/assets/images/stills/thumb/small_C114EVU5.jpg,small_C114EVU5, Jeff Barnaby, Michel St-Martin," Louisa Schabas, Sylvain Lemaitre",, Jeff Barnaby,,, 1980s," Warm, Desaturated", 2.39,, Wide, Establishing shot, Wide, Balanced, Hard light," Daylight, Sunny", Day, Exterior,, Boat > River, ... Canada > Quebec,,,, ... Canada > Quebec,,
2074,HOUSE OF FLYING DAGGERS,2004,"Action, Adventure, Drama, Romance",https://shotdeck.com/assets/images/stills/thumb/small_FM4RBJQL.jpg,small_FM4RBJQL, Zhang Yimou, Zhao Xiaoding, Tingxiao Huo, Emi Wada, Long Cheng,,, Medieval, Warm, 2.35 - Spherical, Film - 35mm, Medium Wide, Insert, Medium, Balanced, Soft light, Daylight, Day, Exterior,, Forest, ... China > Feng Tian County," Arricam ST, Arriflex 435"," Cooke S4/ i, Cooke Varotal Lenses, Zeiss Standard Primes"," 5218/7218 Vision 2 500T, Eastman EXR 50D 5245", ... Earth,,
2075,TOP GUN: MAVERICK,2022,"Action, Drama",https://shotdeck.com/assets/images/stills/thumb/small_TNVUYFMN.jpg,small_TNVUYFMN, Joseph Kosinski, Claudio Miranda, Jeremy Hindle, Marlene Stewart," Chris Lebenzon, Eddie Hamilton"," Stefan Sonnenfeld, Adam Nazarenko",1.0, 2020s," Cool, Desaturated, Cyan, Blue", 1.90 - Spherical, Digital, Extreme Wide," Aerial, Establishing shot", Long Lens, Center, Soft light, Daylight, Day, Exterior, Location, Lake, ... Washington State > Kachess Lake, Sony VENICE," Fujinon Premier Lenses, Sigma Cine Lenses, Zeiss Master Primes", 4K, ... United States of America > California,,
2076,THE MAN WITH THE IRON FISTS,2012,Action,https://shotdeck.com/assets/images/stills/thumb/small_G9P24VZC.jpg,small_G9P24VZC, RZA, Chi Ying Chan,, Thomas Chong,,,, 1800s, White, 1.78, Digital, Extreme Close Up," Insert, Low angle", Long Lens, Center, Soft light, Daylight, Day, Exterior, Location, Tree > Bole, ... Asia > China,," Zeiss Ultra Prime, Angenieux Optimo Zooms, Zeiss Ultra Prime",, ... China > Shanghai,,
2077,HEADHUNTERS,2011,"Crime, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_HV0CNW0R.jpg,small_HV0CNW0R, Morten Tyldum, John Andreas Andersen, Nina Bjerch Andresen, Karen Fabritius Gram, Vidar Flataukan, Julien Alary,, 2010s," Cool, Saturated, Cyan, Blue"," 2.39 - Super 35, Spherical", Film - 35mm, Extreme Wide, Establishing shot, Wide,, Soft light, Daylight, Day, Exterior,, Forest > Cabin, ... Europe > Norway, Arricam ST, Zeiss Master Primes,, ... Europe > Norway,,
2078,THE GRAPES OF WRATH,1940,Drama,https://shotdeck.com/assets/images/stills/thumb/small_AAY6VHHO.jpg,small_AAY6VHHO, John Ford, Gregg Toland," Richard Day, Mark-Lee Kirk", Gwen Wakeling, Robert L. Simpson,,2.0, 1940s," Desaturated, Black and White", 1.33 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Wide, Balanced, Hard light," Daylight, Sunny", Day, Exterior, Location, River, ... California > Colorado River, Mitchell BNC,,, ... Needles > Old Trails Bridge,,
2079,FREE IN DEED,2015,Drama,https://shotdeck.com/assets/images/stills/thumb/small_XOQR0JYF.jpg,small_XOQR0JYF, Jake Mahaffy, Ava Berkofsky, C. Michael Andrews, Jami Villers," Jake Mahaffy, Simon Price, Michael Taylor",,0.0, 2010s," Cool, Green, Cyan", 1.78 - Spherical, Digital, Medium Wide, Low angle, Medium, Balanced,, Sunny, Day, Exterior, Location, Tree Branches, ... Tennessee > Memphis, ARRI ALEXA Classic / plus,,, ... Tennessee > Memphis,,
2080,HERO,2002,"Drama, History, Action, Adventure",https://shotdeck.com/assets/images/stills/thumb/small_EDR4MS6B.jpg,small_EDR4MS6B, Zhang Yimou, Christopher Doyle," Tingxiao Huo, Zhenzhou Yi", Emi Wada," Angie Lam, Vincent Lee, Ru Zhai", Al Hansen,0.0, Ancient," Cool, Blue", 2.35 - Anamorphic, Film - 35mm, Wide, Establishing shot, Medium, Balanced, Soft light, Daylight, Day, Exterior, Location, Mountains > Clearing > Encampment, ... Asia > China," Arri 535 / 535B, Arri 435 / 435ES"," Angenieux Optimo Zooms, Cooke/I Anamorphics"," 5277/7277 Vision 320T, 8552/8652 F-250T", ... Asia > China,,
2081,HIGH AND LOW,1963,"Drama, Crime, Mystery, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_1JUE711E.jpg,small_1JUE711E, Akira Kurosawa," Asakazu Nakai, Takao Sait", Yoshirô Muraki, Miyuki Suzuki, Akira Kurosawa,,1.0, 1960s," Desaturated, Black and White", 2.35 - Anamorphic, Film - 35mm, Wide, Establishing shot, Wide, Right heavy, Hard light, Daylight, Day, Exterior,, Road, ... Japan > Yokohama,,,, ... Japan > Yokohama,,
2082,MAZE RUNNER: THE DEATH CURE,2018,"Action, Book Adaptation, Science Fiction, Zombie",https://shotdeck.com/assets/images/stills/thumb/small_K1HA7865.jpg,small_K1HA7865, Wes Ball, Gyula Pados, Daniel T. Dorrance, Sanja Milkovic Hays," Dan Zimmerman, Paul Harb", Ismael Salas,0.0, Future," Warm, White", 2.39 - Spherical, Digital, Wide, Establishing shot, Wide, Balanced, Hard light," Daylight, Sunny", Day, Exterior, Location, Abandoned Checkpoint, ... Earth, ARRI ALEXA XT / XTplus, Panavision Primo 70 Primes, 3.2K / 3.2K ArriRaw, ... South Africa > Cape Town,,
2083,YELLOWSTONE,2021,"Drama, Western",https://shotdeck.com/assets/images/stills/thumb/small_TPVEY18O.jpg,small_TPVEY18O, Stephen T. Kay, Christina Alexandra Voros, Cary White, Johnetta Boone, Chad Galster, Bob Festa,0.0, 2020s," Cyan, Blue", 2.00 - Spherical, Digital, Extreme Wide, Establishing shot, Wide, Center, Soft light," Daylight, Sunny", Day, Exterior, Location, Dirt Road, ... United States > Montana," ARRI ALEXA Mini, ARRI AMIRA"," Zeiss Ultra Prime, Angenieux Optimo Zooms", 3.2K / 3.2K ArriRaw, ... United States > Montana,,
2084,KUNG-FU MASTER!,1988,"Drama, Romance",https://shotdeck.com/assets/images/stills/thumb/small_MSD9HV3R.jpg,small_MSD9HV3R, Agnès Varda," Pierre-Laurent Chénieux, Pierre-Laurent Chénieux",,, Marie-Josée Audiard,,0.0, 1980s,, 1.66 - Spherical, Film - 35mm, Wide, Establishing shot, Medium, Balanced, Hard light," Daylight, Sunny", Day, Exterior, Location, School > Schoolyard, ... France > Paris,,,, ... France > Paris,,
2085,SPIDER-MAN: FAR FROM HOME,2019,"Action, Adventure, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_T8KHAFFZ.jpg,small_T8KHAFFZ, Jon Watts, Matthew J. Lloyd, Claude Par, Anna B. Sheppard," Dan Lebental, Leigh Folsom Boyd", Jill Bogdanowicz,0.0, Future,, 2.39 - Anamorphic, Digital, Wide, Establishing shot, Wide, Center, Soft light, Daylight, Day, Exterior, Location, Canal, ... Veneto > Venice, ARRI ALEXA Mini," Zeiss Master Primes, Angenieux Optimo Zooms", ARRIRAW (3.4k), ... Veneto > Venice,,
2086,MONOS,2019,"Drama, War",https://shotdeck.com/assets/images/stills/thumb/small_1LNQS1G8.jpg,small_1LNQS1G8, Alejandro Landes, Jasper Wolf, Daniela Schneider," Daniela Schneider, Johanna Buendia"," Santiago Otheguy, Yorgos Mavropsaridis, Ted Guard", Laurens Orij,1.0, 2010s," Cool, Green, Cyan, Blue", 2.39, Digital, Medium Close Up, Insert, Medium, Center, Soft light," Daylight, Overcast", Day, Exterior, Location, Field, ... South America > Mountaintop, ARRI ALEXA Mini," Angenieux Optimo, Hawk Vantage One", 3.2K / 3.2K ArriRaw, ... Colombia > Chingaza National Park,,
2087,GUAVA ISLAND,2019,"Comedy, Music, Musical, Romance, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_KC3ILGQM.jpg,small_KC3ILGQM, Hiro Murai, Christian Sprenger, Lucio Seixas, Mobolaji Dawodu, Isaac Hagy, Ricky Gausis,, 2010s," Cool, Saturated, Green, Cyan", 1.33 - Spherical, Digital, Wide, Establishing shot, Wide, Left heavy," Hard light, Top-light"," Daylight, Sunny", Day, Exterior, Location, River, ... Earth > Guava Island, ARRI ALEXA LF, Canon K35, ARRIRAW (4.5K), ... Cuba > Havana,,
2088,GERONIMO: AN AMERICAN LEGEND,1993,"History, Western",https://shotdeck.com/assets/images/stills/thumb/small_E1PWFNPB.jpg,small_E1PWFNPB, Walter Hill, Lloyd Ahern II, Joe Alves, Dan Moore," Freeman A. Davies, Donn Aron, Carmel Davies", Sati Tooray,,," Warm, Desaturated", 2.35 - Anamorphic, Film - 35mm, Extreme Wide, Aerial, Medium, Left heavy, Soft light, Daylight, Day, Exterior, Location, Desert, ... United States of America > Arizona, Panavision Cameras, Panavision Lenses,, ... United States of America > Arizona,,
2089,WEEKEND,1967,"Adventure, Comedy, Drama",https://shotdeck.com/assets/images/stills/thumb/small_PCOCV2QE.jpg,small_PCOCV2QE, Jean-Luc Godard, Raoul Coutard,,, Agnès Guillemot,,,," Cool, White", 1.66 - Spherical, Film - 35mm, Extreme Wide, Establishing shot, Medium, Balanced, Soft light, Daylight, Day, Exterior, Location, Street > Car, ... Europe > France,,,, ... Europe > France,,
2090,K.G.F: CHAPTER 1,2018,"Action, Crime, Drama",https://shotdeck.com/assets/images/stills/thumb/small_ZICKYZY1.jpg,small_ZICKYZY1, Prashanth Neel, Bhuvan Gowda, Shivakumar," Sania Sardharia, Yogi G Raj", Srikanth Gowda, Rajureddym,, 1970s, White, 2.35 - Spherical, Digital, Extreme Close Up, Insert, Medium, Right heavy, Soft light, Daylight, Day, Exterior, Location, Street, ... Asia > India, ARRI ALEXA SXT," Zeiss Master Primes, Zeiss Super Speed",, ... India > Mumbai,,
2091,TOP GUN: MAVERICK,2022,"Action, Drama",https://shotdeck.com/assets/images/stills/thumb/small_TTOWLARN.jpg,small_TTOWLARN, Joseph Kosinski, Claudio Miranda, Jeremy Hindle, Marlene Stewart," Chris Lebenzon, Eddie Hamilton"," Stefan Sonnenfeld, Adam Nazarenko",1.0, 2020s," Cool, Desaturated, Cyan, Blue", 1.90 - Spherical, Digital, Extreme Wide," Aerial, Establishing shot", Long Lens, Balanced, Soft light, Daylight, Day, Exterior, Location, Lake, ... Washington State > Kachess Lake, Sony VENICE," Fujinon Premier Lenses, Sigma Cine Lenses, Zeiss Master Primes", 4K, ... United States of America > California,,
2092,TAMMY,2014,Comedy,https://shotdeck.com/assets/images/stills/thumb/small_OTHA7H3D.jpg,small_OTHA7H3D, Ben Falcone, Russ T. Alsobrook, Jefferson Sage, Wendy Chuck, Michael L. Sale,,0.0, 2010s," Cool, Green, Blue", 1.78 - Spherical, Film - 35mm, Wide, Establishing shot, Wide,,, Daylight, Day, Exterior, Location, Field,, Panavision Millennium / Millenium XL / XL2,,, ... United States > North Carolina,,
2093,CADDYSHACK,1980,Comedy,https://shotdeck.com/assets/images/stills/thumb/small_Z7AD0QDC.jpg,small_Z7AD0QDC, Harold Ramis, Stevan Larner, Stan Jolley,, William C. Carruth,,0.0, 1980s, Green, 1.78, Film - 35mm, Extreme Wide, Establishing shot, Wide, Center, Hard light," Daylight, Sunny", Day, Exterior,, Country Club > Golf Course > Across the Street, ... North America > United States of America, Panavision Panaflex,,, ... North America > United States,,
2094,A BEAUTIFUL DAY IN THE NEIGHBORHOOD,2019,Drama. Biographical,https://shotdeck.com/assets/images/stills/thumb/small_DTKDUBXL.jpg,small_DTKDUBXL, Marielle Heller, Jody Lee Lipes, Jade Healy, Arjun Bhasin, Anne McCabe,,0.0, 1990s, Mixed, 1.85 - Spherical, Film - 16mm, Extreme Wide, High angle, Long Lens, Balanced," Hard light, Soft light", Sunny, Day, Exterior, Stage, Apartment > Alleyway, ... New York > New York City," Arriflex 416, Ikegami 323, Ikegami 79, ARRI ALEXA Mini"," Zeiss Master Primes, Angenieux Optimo Zooms"," TRI-X Reversal Film 7266, 2.8K / 2.8K ArriRaw",,,
2095,TOUKI BOUKI,1973,"Drama, Romance",https://shotdeck.com/assets/images/stills/thumb/small_P3HK6HGH.jpg,small_P3HK6HGH, Djibril Diop Mamb, Georges Bracher, Aziz Diop Mamb,, Siro Asteni,,0.0, 1970s, Cool, 1.37 - Spherical, Film - 35mm, Wide, Insert, Medium, Right heavy," Backlight, Hard light, Hi-contrast"," Daylight, Sunny", Day, Exterior, Location, Desert > River, ... Senegal > Dakar,,,, ... Senegal > Dakar,,
2096,THE SOUND OF MUSIC,1965,"Drama, Family, Music, Musical, Romance",https://shotdeck.com/assets/images/stills/thumb/small_6ER9FG1S.jpg,small_6ER9FG1S, Robert Wise, Ted D. McCord, Boris Leven, Dorothy Jeakins, William Reynolds," John Sellars, Mark Griffith",2.0, 1930s," Saturated, Red", 2.20 - Spherical, Film - 35mm," Medium Wide, Wide"," Insert, Low angle", Medium,, Soft light, Daylight, Day, Exterior,,, ... Austria > Salzburg, Mitchell BNC,, 5251 Print 50T, ... Austria > Salzburg,,
